"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.300156300E-2,6.783999801E-1,1.011199951E0,-1.387699962E0
2.298125000E-2,6.769999862E-1,7.935000062E-1,-1.447299957E0
3.299218800E-2,8.345999718E-1,5.803999901E-1,-1.433200002E0
4.300312500E-2,6.520999670E-1,5.697000027E-1,-1.078199983E0
5.298437500E-2,3.331999779E-1,7.653999925E-1,-6.274999976E-1
6.299375000E-2,-1.099999994E-3,8.479999900E-1,-1.146999970E-1
7.300625000E-2,-1.136000007E-1,1.397699952E0,2.750999928E-1
8.298593800E-2,1.277000010E-1,1.438199997E0,5.073999763E-1
9.299687500E-2,8.280000091E-2,1.009699941E0,2.329999954E-1
1.030078130E-1,1.342999935E-1,5.952000022E-1,1.435000002E-1
1.129875000E-1,-5.119999871E-2,3.041999936E-1,-7.129999995E-2
1.229984380E-1,-3.086999953E-1,7.099999487E-2,3.559999913E-2
1.330093750E-1,-7.507999539E-1,-3.229999915E-2,1.196999997E-1
1.429890630E-1,-8.499000072E-1,1.379999984E-2,6.239999831E-2
1.530000000E-1,-1.100799918E0,-4.609999806E-2,-7.289999723E-2
1.630125000E-1,-1.029699922E0,2.510000020E-2,2.369999886E-2
1.729921880E-1,-7.265999913E-1,-6.439999491E-2,2.467999905E-1
1.830031250E-1,-2.458999902E-1,-2.987000048E-1,3.028999865E-1
1.929843750E-1,1.467999965E-1,-5.570999980E-1,6.532999873E-1
2.029937500E-1,2.320999950E-1,-4.501999915E-1,5.108000040E-1
2.130046880E-1,3.143000007E-1,-3.674999774E-1,2.669999897E-1
2.229843750E-1,3.382000029E-1,-9.209999442E-2,-3.553999960E-1
2.329953130E-1,3.883000016E-1,-5.189999938E-2,-4.627999961E-1
2.430078130E-1,4.666000009E-1,-7.609999925E-2,7.869999856E-2
2.529859380E-1,5.306999683E-1,-9.659999609E-2,4.640999734E-1
2.629984380E-1,3.534999788E-1,1.597999930E-1,4.615999758E-1
2.730093750E-1,3.352999985E-1,-1.709999889E-2,1.479000002E-1
2.829906250E-1,3.648999929E-1,1.122999936E-1,-1.181999967E-1
2.930000000E-1,1.982000023E-1,1.944999993E-1,-2.929999828E-1
3.030109380E-1,5.979999900E-2,7.629999518E-2,-4.958999753E-1
3.129906250E-1,6.350000203E-2,7.639999688E-2,-2.228999883E-1
3.230015630E-1,1.869999990E-2,8.219999820E-2,-3.350000083E-2
3.329828130E-1,5.709999800E-2,4.800000042E-2,7.679999620E-2
3.429921880E-1,-2.073999941E-1,4.849999771E-2,-1.239999980E-1
3.530046880E-1,-1.920999885E-1,4.769999906E-2,-1.129999943E-2
3.629828130E-1,-3.693999946E-1,8.689999580E-2,2.049999870E-2
3.729937500E-1,-3.585999906E-1,1.643999964E-1,2.138999999E-1
3.830062500E-1,-6.291999817E-1,8.789999783E-2,4.445999861E-1
3.929859380E-1,-5.167999864E-1,5.389999971E-2,4.386000037E-1
4.029968750E-1,-4.573999941E-1,-5.419999734E-2,3.139999807E-1
4.130078130E-1,-5.514999628E-1,6.790000200E-2,1.171999946E-1
4.229875000E-1,-4.052999914E-1,2.224999964E-1,8.569999784E-2
4.330000000E-1,-3.209999800E-1,1.781999916E-1,2.087999880E-1
4.430093750E-1,-2.248999923E-1,1.611000001E-1,1.494999975E-1
4.529890630E-1,-5.260000005E-2,2.651000023E-1,1.645999998E-1
4.630000000E-1,-7.109999657E-2,2.577999830E-1,2.854000032E-1
4.730109380E-1,-2.377999872E-1,1.458999962E-1,1.867000014E-1
4.829921880E-1,-2.430999875E-1,1.527999938E-1,1.239999980E-1
4.930031250E-1,-1.700000018E-1,1.077999994E-1,-3.659999743E-2
5.029828130E-1,-5.769999698E-2,1.692999899E-1,-1.798999906E-1
5.129937500E-1,4.129999876E-2,3.830000013E-2,-2.843999863E-1
5.230046880E-1,-1.269999985E-2,2.630000003E-2,-3.137999773E-1
5.329843750E-1,-2.630000003E-2,1.699999906E-2,-4.651999772E-1
5.429953130E-1,-1.578999907E-1,9.179999679E-2,-3.115999997E-1
5.530078130E-1,-5.969999731E-2,2.133999914E-1,-1.059999969E-2
5.629875000E-1,-7.739999890E-2,2.937999964E-1,2.142999917E-1
5.729984380E-1,-1.718000025E-1,1.017000005E-1,3.964000046E-1
5.830093750E-1,-3.409999982E-2,1.410999894E-1,3.111999929E-1
5.929890630E-1,-2.439999953E-2,1.061000004E-1,2.230999917E-1
6.030000000E-1,1.353999972E-1,2.212999910E-1,-9.300000034E-3
6.130109380E-1,9.339999408E-2,3.357000053E-1,-3.399999812E-3
6.229906250E-1,-2.229999937E-2,3.727999926E-1,2.736999989E-1
6.330031250E-1,-7.079999894E-2,9.519999474E-2,2.421999872E-1
6.429812500E-1,-3.700000048E-2,2.447999865E-1,1.767999977E-1
6.529921880E-1,2.999999851E-4,3.181000054E-1,3.423999846E-1
6.630046880E-1,-1.545999944E-1,4.334999919E-1,3.452000022E-1
